CMDLINE /home/ale/.virtualenvs/pin2/bin/python dqn_cartpole.py
MEM 442.796875 1672825441.5734
MEM 442.832031 1672825441.6737
MEM 442.796875 1672825441.7741
MEM 443.347656 1672825441.8746
MEM 444.292969 1672825441.9750
MEM 445.187500 1672825442.0754
MEM 445.226562 1672825442.1758
MEM 445.195312 1672825442.2761
MEM 445.753906 1672825442.3765
MEM 446.699219 1672825442.4770
MEM 448.109375 1672825442.5775
MEM 448.156250 1672825442.6779
MEM 448.125000 1672825442.7785
MEM 448.769531 1672825442.8790
MEM 449.359375 1672825442.9794
MEM 450.007812 1672825443.0799
MEM 450.535156 1672825443.1803
MEM 450.562500 1672825443.2807
MEM 450.710938 1672825443.3811
MEM 451.480469 1672825443.4816
MEM 452.285156 1672825443.5819
MEM 452.941406 1672825443.6823
MEM 452.960938 1672825443.7826
MEM 453.082031 1672825443.8830
MEM 454.199219 1672825443.9835
MEM 455.195312 1672825444.0839
MEM 455.582031 1672825444.1843
MEM 455.640625 1672825444.2848
MEM 455.640625 1672825444.3853
MEM 455.609375 1672825444.4856
MEM 455.578125 1672825444.5860
MEM 455.562500 1672825444.6865
MEM 455.531250 1672825444.7870
MEM 455.511719 1672825444.8874
MEM 455.488281 1672825444.9878
MEM 455.472656 1672825445.0881
MEM 455.472656 1672825445.1884
MEM 455.867188 1672825445.2889
MEM 457.066406 1672825445.3894
MEM 457.050781 1672825445.4898
MEM 457.023438 1672825445.5902
MEM 457.718750 1672825445.6907
MEM 458.617188 1672825445.7911
MEM 459.054688 1672825445.8916
MEM 459.566406 1672825445.9919
MEM 459.535156 1672825446.0923
MEM 459.570312 1672825446.1926
MEM 460.449219 1672825446.2930
MEM 461.378906 1672825446.3934
MEM 461.363281 1672825446.4938
MEM 461.332031 1672825446.5942
MEM 462.019531 1672825446.6945
MEM 462.515625 1672825446.7949
MEM 463.343750 1672825446.8953
MEM 463.871094 1672825446.9957
MEM 464.097656 1672825447.0961
MEM 464.121094 1672825447.1965
MEM 465.027344 1672825447.2969
MEM 465.433594 1672825447.3973
MEM 466.382812 1672825447.4977
MEM 466.371094 1672825447.5980
MEM 466.355469 1672825447.6984
MEM 466.417969 1672825447.7988
MEM 466.804688 1672825447.8992
MEM 467.566406 1672825447.9996
MEM 468.156250 1672825448.0999
MEM 468.656250 1672825448.2003
MEM 468.628906 1672825448.3007
MEM 468.679688 1672825448.4012
MEM 469.816406 1672825448.5016
MEM 470.226562 1672825448.6020
MEM 471.128906 1672825448.7024
MEM 471.355469 1672825448.8028
MEM 471.414062 1672825448.9032
MEM 472.589844 1672825449.0035
MEM 473.757812 1672825449.1039
MEM 473.652344 1672825449.2043
MEM 473.621094 1672825449.3047
MEM 474.570312 1672825449.4052
MEM 475.417969 1672825449.5056
MEM 475.902344 1672825449.6059
MEM 475.886719 1672825449.7063
MEM 475.906250 1672825449.8067
MEM 476.332031 1672825449.9071
MEM 477.480469 1672825450.0075
MEM 478.410156 1672825450.1079
MEM 478.414062 1672825450.2084
MEM 478.394531 1672825450.3088
MEM 478.382812 1672825450.4092
MEM 478.816406 1672825450.5096
MEM 479.601562 1672825450.6100
MEM 480.171875 1672825450.7103
MEM 480.664062 1672825450.8107
MEM 480.652344 1672825450.9110
MEM 480.660156 1672825451.0114
MEM 481.085938 1672825451.1118
MEM 481.992188 1672825451.2121
MEM 483.191406 1672825451.3125
MEM 483.160156 1672825451.4129
MEM 483.191406 1672825451.5132
MEM 484.367188 1672825451.6136
MEM 485.253906 1672825451.7139
MEM 485.699219 1672825451.8143
MEM 485.671875 1672825451.9146
MEM 485.656250 1672825452.0149
MEM 486.093750 1672825452.1153
MEM 487.015625 1672825452.2157
MEM 487.945312 1672825452.3162
MEM 487.929688 1672825452.4166
MEM 487.902344 1672825452.5169
